StockCode,CurrentStock,ForecastDemand,ReorderQuantity
10002,9016,25120.237709322257,16104.237709322257
10002R,4,25120.237709322257,25116.237709322257
10080,597,25120.237709322257,24523.237709322257
10109,4,25120.237709322257,25116.237709322257
10120,680,25120.237709322257,24440.237709322257
10123C,654,25120.237709322257,24466.237709322257
10123G,2334,25120.237709322257,22786.237709322257
10124A,138,25120.237709322257,24982.237709322257
10124G,38,25120.237709322257,25082.237709322257
10125,2151,25120.237709322257,22969.237709322257
10133,3882,25120.237709322257,21238.237709322257
10134,627,25120.237709322257,24493.237709322257
10135,4273,25120.237709322257,20847.237709322257
10138,261,25120.237709322257,24859.237709322257
11001,4885,25120.237709322257,20235.237709322257
15030,404,25120.237709322257,24716.237709322257
15034,10266,25120.237709322257,14854.237709322257
15036,44485,25120.237709322257,0.0
15039,5119,25120.237709322257,20001.237709322257
15044A,4970,25120.237709322257,20150.237709322257
15044B,1673,25120.237709322257,23447.237709322257
15044C,973,25120.237709322257,24147.237709322257
15044D,1598,25120.237709322257,23522.237709322257
15056BL,9736,25120.237709322257,15384.237709322257
15056N,11370,25120.237709322257,13750.237709322257
15056P,2554,25120.237709322257,22566.237709322257
15056bl,126,25120.237709322257,24994.237709322257
15056n,180,25120.237709322257,24940.237709322257
15056p,50,25120.237709322257,25070.237709322257
15058A,496,25120.237709322257,24624.237709322257
15058B,438,25120.237709322257,24682.237709322257
15058C,470,25120.237709322257,24650.237709322257
15059A,509,25120.237709322257,24611.237709322257
15060B,1447,25120.237709322257,23673.237709322257
15060b,5,25120.237709322257,25115.237709322257
16008,3143,25120.237709322257,21977.237709322257
16010,44,25120.237709322257,25076.237709322257
16011,3906,25120.237709322257,21214.237709322257
16012,2973,25120.237709322257,22147.237709322257
16014,30370,25120.237709322257,0.0
16015,1973,25120.237709322257,23147.237709322257
16016,2338,25120.237709322257,22782.237709322257
16020C,160,25120.237709322257,24960.237709322257
16033,15241,25120.237709322257,9879.237709322257
16043,2145,25120.237709322257,22975.237709322257
16044,6289,25120.237709322257,18831.237709322257
16045,9312,25120.237709322257,15808.237709322257
16046,10082,25120.237709322257,15038.237709322257
16047,10614,25120.237709322257,14506.237709322257
16048,3462,25120.237709322257,21658.237709322257
16049,3243,25120.237709322257,21877.237709322257
16050,151,25120.237709322257,24969.237709322257
16051,977,25120.237709322257,24143.237709322257
16052,1530,25120.237709322257,23590.237709322257
16053,4313,25120.237709322257,20807.237709322257
16054,1210,25120.237709322257,23910.237709322257
16119,273,25120.237709322257,24847.237709322257
16151A,102,25120.237709322257,25018.237709322257
