ds,yhat
2009-12-01,69878.68004422172
2009-12-02,64201.814503160436
2009-12-03,71175.68815743554
2009-12-04,63329.36415359963
2009-12-05,10903.553737002449
2009-12-06,47250.41052102261
2009-12-07,65694.991918054
2009-12-08,66625.6913859704
2009-12-09,59010.00778823748
2009-12-10,64000.05445915728
2009-12-11,54164.62168801241
2009-12-13,34257.50221638274
2009-12-14,50946.33056513517
2009-12-15,50280.45890356669
2009-12-16,41264.58826859074
2009-12-17,45084.40983060656
2009-12-18,34337.74927791653
2009-12-20,13473.85449994064
2009-12-21,30145.855012414486
2009-12-22,29778.690871297295
2009-12-23,21374.07050365076
2010-01-04,19751.711557087365
2010-01-05,23299.010955504327
2010-01-06,18725.02947250238
2010-01-07,27127.077454211067
2010-01-08,21012.008830201212
2010-01-10,9195.36659818955
2010-01-11,30107.343535229065
2010-01-12,33682.26847517932
2010-01-13,28849.377779657727
2010-01-14,36721.09286374103
2010-01-15,29825.76816284895
2010-01-17,15812.908434976864
2010-01-18,35377.559048247516
2010-01-19,37490.622573769055
2010-01-20,31122.875548607728
2010-01-21,37429.22880460424
2010-01-22,28980.358403410544
2010-01-24,12057.754175087804
2010-01-25,30340.379810447896
2010-01-26,31329.713916172295
2010-01-27,24022.88930000774
2010-01-28,29595.62349666511
2010-01-29,20633.413193194363
2010-01-31,3372.79558813489
2010-02-01,21828.78554766606
2010-02-02,23208.159363186303
2010-02-03,16492.15617833439
2010-02-04,22835.495863371372
2010-02-05,14798.242411011866
2010-02-07,-268.4490004649415
2010-02-08,19391.04957439172
2010-02-09,21999.290591153993
2010-02-10,16503.215722476678
2010-02-11,24024.378075029465
2010-02-12,17091.725313406187
2010-02-14,3905.33634353213
2010-02-15,24295.66782163884
2010-02-16,27472.91396270033
2010-02-17,22358.625844238304
2010-02-18,30084.305571589866
2010-02-19,23179.216728931337
2010-02-21,9544.36948340886
2010-02-22,29484.376264518207
2010-02-23,32084.791590294215
2010-02-24,26304.740747826036
2010-02-25,33285.94235109908
2010-02-26,25584.72493500271
2010-02-28,10315.023274265013
2010-03-01,29471.929183555912
2010-03-02,31347.15416874949
2010-03-03,24923.366124755346
2010-03-04,31362.799657213076
2010-03-05,23238.681137394487
2010-03-07,7526.553600672556
2010-03-08,26676.01212332048
2010-03-09,28686.53680076621
2010-03-10,22535.156736906934
2010-03-11,29356.28202331053
2010-03-12,21726.777089866755
2010-03-14,7268.7146165239865
2010-03-15,27133.770986404725
2010-03-16,29886.504170135497
2010-03-17,24478.36292817236
2010-03-18,32035.891298756174
2010-03-19,25093.298478719276
2010-03-21,11769.303034362985
2010-03-22,32042.092688796052
2010-03-23,35075.43013707587
2010-03-24,29809.81207688815
2010-03-25,37365.048959942666
2010-03-26,30273.038891825534
2010-03-28,16221.984534998257
2010-03-29,35934.578326841336
2010-03-30,38294.96256247079
2010-03-31,32261.837944289124
2010-04-01,38976.138076909665
2010-04-06,35435.94003294807
2010-04-07,28637.69410638079
2010-04-08,34684.43609493579
2010-04-09,26150.40738636683
2010-04-11,9574.284003907746
2010-04-12,28275.178621589897
2010-04-13,29830.947336230958
2010-04-14,23223.07507787002
2010-04-15,29608.76106964527
2010-04-16,21552.59373279473
2010-04-18,6291.085393950474
2010-04-19,25791.496157232
2010-04-20,28212.32302939904
2010-04-21,22510.732279206866
2010-04-22,29818.55056702687
2010-04-23,22674.677974345628
2010-04-25,9108.361774376663
2010-04-26,29345.307980713784
2010-04-27,32401.432042914916
2010-04-28,27217.157760777143
2010-04-29,34910.3645349873
2010-04-30,28011.277959949453
2010-05-02,14495.856629408026
2010-05-04,37268.95704051434
2010-05-05,31631.149835806205
2010-05-06,38760.85101498796
2010-05-07,31205.263959729036
2010-05-09,16180.481544743696
2010-05-10,35418.17949653768
2010-05-11,37334.979103534344
2010-05-12,30906.092732492703
2010-05-13,37287.5234081564
2010-05-14,29047.717157104682
